Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
*,*,*,JP1/JP2/R4/U3,3,*** PART# '*' NOT FOUND : JP1/JP2/R4/U3
478-1249-1-ND,AVX,0603YD105KAT2A,C2,1,
WM6357CT-ND,Molex,1040310811,U1,1,
311-1776-1-ND,Yageo,CC0603JRX7R7BB104,C3,1,
P14397-ND,Panasonic Electronic Components,EEU-FR1C102L,C1,1,
P10.0KHCT-ND,Panasonic,ERJ-3EKF1002V,R1/R3,2,
P220GCT-ND,Panasonic,ERJ-3GEYJ221V,R2,1,
NL17SZ125DTT1GOSCT-ND,ON Semiconductor,NL17SZ125DTT1G,U4,1,
S7016-ND,Sullins Connector Solutions,PPTC181LFBN-RC,HEADER1/HEADER2,2,
478-1724-1-ND,AVX,TAJD107K020RNJ,C4,1,
